delivery_id,project_id,sequence_id,shot_id,version,delivery_date,client_status,review_days,final_delivery
D001,P001,SQ002,SH034,V001,2026-06-08,Rejected,7,False
D002,P001,SQ002,SH034,V002,2026-06-15,Approved,10,True
D003,P001,SQ003,SH073,V001,2026-06-28,Rejected,2,False
D004,P001,SQ003,SH073,V002,2026-06-30,Rejected,9,False
D005,P001,SQ003,SH073,V003,2026-07-09,Rejected,3,False
D006,P001,SQ003,SH073,V004,2026-07-12,Rejected,13,False
D007,P001,SQ003,SH073,V005,2026-07-25,Approved,8,True
D008,P001,SQ003,SH076,V001,2026-06-10,Rejected,9,False
D009,P001,SQ003,SH076,V002,2026-06-19,Approved,7,True
D010,P001,SQ003,SH079,V001,2026-04-09,Approved,8,True
D011,P001,SQ003,SH080,V001,2026-05-13,Rejected,8,False
D012,P001,SQ003,SH080,V002,2026-05-21,Approved,9,True
D013,P001,SQ003,SH082,V001,2026-04-10,Approved,7,True
D014,P001,SQ003,SH084,V001,2026-05-08,Approved,2,True
D015,P001,SQ003,SH085,V001,2026-06-10,Approved,11,True
D016,P001,SQ003,SH089,V001,2026-04-15,Rejected,14,False
D017,P001,SQ003,SH089,V002,2026-04-29,Approved,12,True
D018,P001,SQ003,SH090,V001,2026-05-01,Rejected,5,False
D019,P001,SQ003,SH090,V002,2026-05-06,Approved,9,True
D020,P001,SQ003,SH092,V001,2026-04-12,Rejected,6,False
D021,P001,SQ003,SH092,V002,2026-04-18,Rejected,11,False
D022,P001,SQ003,SH092,V003,2026-04-29,Rejected,2,False
D023,P001,SQ003,SH092,V004,2026-05-01,Rejected,2,False
D024,P001,SQ003,SH092,V005,2026-05-03,Rejected,8,False
D025,P001,SQ003,SH092,V006,2026-05-11,Approved,14,True
D026,P001,SQ003,SH094,V001,2026-05-15,Approved,14,True
D027,P001,SQ005,SH125,V001,2026-04-24,Rejected,9,False
D028,P001,SQ005,SH125,V002,2026-05-03,Rejected,1,False
D029,P001,SQ005,SH125,V003,2026-05-04,Rejected,2,False
D030,P001,SQ005,SH125,V004,2026-05-06,Approved,13,True
D031,P001,SQ005,SH126,V001,2026-04-03,Rejected,7,False
D032,P001,SQ005,SH126,V002,2026-04-10,Approved,2,True
D033,P001,SQ005,SH127,V001,2026-04-11,Rejected,7,False
D034,P001,SQ005,SH127,V002,2026-04-18,Approved,2,True
D035,P001,SQ005,SH128,V001,2026-04-07,Approved,5,True
D036,P001,SQ005,SH129,V001,2026-03-30,Approved,6,True
D037,P001,SQ005,SH130,V001,2026-02-26,Rejected,3,False
D038,P001,SQ005,SH130,V002,2026-03-01,Rejected,5,False
D039,P001,SQ005,SH130,V003,2026-03-06,Rejected,7,False
D040,P001,SQ005,SH130,V004,2026-03-13,Approved,9,True
D041,P001,SQ005,SH131,V001,2026-05-04,Approved,7,True
D042,P001,SQ005,SH132,V001,2026-06-03,Rejected,10,False
D043,P001,SQ005,SH132,V002,2026-06-13,Approved,12,True
