render_id,project_id,sequence_id,shot_id,frame_count,render_engine,render_status,render_hours,submission_date,completion_date
R001,P001,SQ002,SH034,97,RenderMan,Failed,2.9,2026-05-21,2026-05-21
R002,P001,SQ002,SH034,97,Arnold,Success,2.69,2026-05-18,2026-05-18
R003,P001,SQ003,SH073,576,V-Ray,Success,93.91,2026-01-19,2026-01-22
R004,P001,SQ003,SH076,59,Arnold,Failed,1.57,2026-04-24,2026-04-24
R005,P001,SQ003,SH079,117,Arnold,Success,3.71,2026-02-02,2026-02-02
R006,P001,SQ003,SH079,117,RenderMan,Success,5.24,2026-01-20,2026-01-20
R007,P001,SQ003,SH079,117,V-Ray,Success,3.63,2026-01-24,2026-01-24
R008,P001,SQ003,SH080,101,Arnold,Success,4.79,2026-04-08,2026-04-08
R009,P001,SQ003,SH080,101,Arnold,Success,4.55,2026-04-19,2026-04-19
R010,P001,SQ003,SH082,83,Arnold,Success,1.9,2026-01-25,2026-01-25
R011,P001,SQ003,SH084,152,Arnold,Failed,10.41,2026-05-01,2026-05-01
R012,P001,SQ003,SH084,152,V-Ray,Success,13.45,2026-04-30,2026-04-30
R013,P001,SQ003,SH084,152,Arnold,Success,8.89,2026-05-01,2026-05-01
R014,P001,SQ003,SH085,79,Arnold,Success,2.78,2026-03-22,2026-03-22
R015,P001,SQ003,SH085,79,V-Ray,Success,2.64,2026-03-26,2026-03-26
R016,P001,SQ003,SH089,64,RenderMan,Success,2.88,2026-03-21,2026-03-21
R017,P001,SQ003,SH090,137,Arnold,Success,12.13,2026-02-02,2026-02-02
R018,P001,SQ003,SH090,137,Arnold,Success,11.4,2026-02-14,2026-02-14
R019,P001,SQ003,SH090,137,Arnold,Failed,8.46,2026-02-14,2026-02-14
R020,P001,SQ003,SH092,495,Arnold,Success,77.29,2026-03-16,2026-03-19
R021,P001,SQ003,SH094,216,Arnold,Success,16.65,2026-05-10,2026-05-10
R022,P001,SQ005,SH125,277,V-Ray,Success,21.8,2026-02-28,2026-02-28
R023,P001,SQ005,SH125,277,V-Ray,Success,16.2,2026-03-01,2026-03-01
R024,P001,SQ005,SH125,277,V-Ray,Success,18.96,2026-02-20,2026-02-20
R025,P001,SQ005,SH126,897,Arnold,Success,105.04,2026-03-26,2026-03-30
R026,P001,SQ005,SH126,897,Arnold,Success,160.1,2026-03-22,2026-03-28
R027,P001,SQ005,SH127,206,Arnold,Success,12.73,2026-02-08,2026-02-08
R028,P001,SQ005,SH127,206,Arnold,Success,13.47,2026-02-14,2026-02-14
R029,P001,SQ005,SH127,206,Arnold,Success,16.36,2026-02-11,2026-02-11
R030,P001,SQ005,SH128,101,Arnold,Success,4.94,2026-03-01,2026-03-01
R031,P001,SQ005,SH128,101,V-Ray,Success,3.98,2026-02-28,2026-02-28
R032,P001,SQ005,SH129,52,Arnold,Failed,2.39,2026-02-23,2026-02-23
R033,P001,SQ005,SH129,52,V-Ray,Success,2.48,2026-03-06,2026-03-06
R034,P001,SQ005,SH129,52,Arnold,Failed,1.59,2026-03-07,2026-03-07
R035,P001,SQ005,SH130,262,V-Ray,Success,19.89,2026-02-17,2026-02-17
R036,P001,SQ005,SH131,113,V-Ray,Success,4.06,2026-03-23,2026-03-23
R037,P001,SQ005,SH132,112,Arnold,Success,4.21,2026-02-06,2026-02-06
R038,P001,SQ005,SH132,112,V-Ray,Success,2.84,2026-02-18,2026-02-18
R039,P001,SQ005,SH132,112,Arnold,Success,2.96,2026-02-14,2026-02-14
R040,P001,SQ005,SH133,203,Arnold,Success,16.8,2026-02-05,2026-02-05
R041,P001,SQ005,SH133,203,Arnold,Failed,20.1,2026-01-25,2026-01-25
R042,P001,SQ005,SH133,203,Arnold,Success,17.93,2026-01-25,2026-01-25
R043,P001,SQ005,SH134,296,Arnold,Success,23.14,2026-03-06,2026-03-06
R044,P001,SQ005,SH134,296,Arnold,Success,21.44,2026-03-01,2026-03-01
R045,P001,SQ005,SH134,296,Arnold,Failed,26.57,2026-03-08,2026-03-09
R046,P001,SQ005,SH135,444,RenderMan,Success,79.1,2026-03-11,2026-03-14
R047,P001,SQ005,SH135,444,V-Ray,Success,110.4,2026-03-11,2026-03-15
R048,P001,SQ005,SH135,444,V-Ray,Success,85.8,2026-03-10,2026-03-13
R049,P001,SQ005,SH136,284,Arnold,Success,27.2,2026-02-20,2026-02-21
R050,P001,SQ005,SH137,63,V-Ray,Failed,1.83,2026-04-01,2026-04-01
R051,P001,SQ005,SH138,312,Arnold,Failed,53.76,2026-03-01,2026-03-03
R052,P001,SQ005,SH138,312,RenderMan,Success,41.65,2026-03-07,2026-03-08
R053,P001,SQ005,SH138,312,Arnold,Success,59.72,2026-02-24,2026-02-26
R054,P001,SQ005,SH139,209,Arnold,Success,15.82,2026-03-09,2026-03-09
R055,P001,SQ005,SH140,115,Arnold,Success,4.49,2026-01-25,2026-01-25
R056,P001,SQ005,SH141,134,V-Ray,Success,12.61,2026-03-31,2026-03-31
R057,P001,SQ005,SH141,134,Arnold,Success,11.52,2026-03-30,2026-03-30
R058,P001,SQ005,SH142,106,V-Ray,Success,4.07,2026-02-05,2026-02-05
R059,P001,SQ005,SH143,960,RenderMan,Success,152.83,2026-03-15,2026-03-21
R060,P001,SQ005,SH144,168,Arnold,Failed,11.43,2026-04-05,2026-04-05
R061,P001,SQ005,SH145,781,Arnold,Success,171.8,2026-02-23,2026-03-02
R062,P001,SQ005,SH145,781,Arnold,Success,144.63,2026-02-11,2026-02-17
R063,P001,SQ005,SH146,251,V-Ray,Success,19.16,2026-01-17,2026-01-17
R064,P001,SQ005,SH146,251,Arnold,Success,18.52,2026-01-22,2026-01-22
R065,P001,SQ005,SH147,53,V-Ray,Success,2.25,2026-02-13,2026-02-13
R066,P001,SQ005,SH147,53,Arnold,Success,1.69,2026-02-05,2026-02-05
R067,P001,SQ005,SH147,53,Arnold,Success,2.01,2026-02-18,2026-02-18
R068,P001,SQ005,SH148,158,V-Ray,Success,13.8,2026-02-09,2026-02-09
R069,P001,SQ005,SH148,158,RenderMan,Success,10.56,2026-02-05,2026-02-05
R070,P001,SQ005,SH148,158,Arnold,Success,12.0,2026-02-16,2026-02-16
R071,P001,SQ005,SH149,883,V-Ray,Success,162.11,2026-02-16,2026-02-22
R072,P001,SQ005,SH150,281,V-Ray,Success,27.0,2026-04-01,2026-04-02
R073,P001,SQ005,SH150,281,Arnold,Success,22.12,2026-03-30,2026-03-30
