shot_id,project_id,sequence_id,shot_name,complexity,frame_count,start_date,end_date,status
SH001,P001,SQ001,P001_SEQ010_SH010,Low,108,2026-12-30,2027-07-20,In Progress
SH002,P001,SQ001,P001_SEQ010_SH020,Medium,242,2026-08-19,2027-07-07,In Progress
SH003,P001,SQ001,P001_SEQ010_SH030,Low,86,2027-01-12,2027-03-26,In Progress
SH004,P001,SQ001,P001_SEQ010_SH040,High,382,2026-12-26,2027-07-05,In Progress
SH005,P001,SQ001,P001_SEQ010_SH050,Low,58,2026-10-30,2026-11-19,In Progress
SH006,P001,SQ001,P001_SEQ010_SH060,Medium,225,2026-07-04,2026-07-23,In Progress
SH007,P001,SQ001,P001_SEQ010_SH070,Low,108,2026-10-02,2027-08-16,In Progress
SH008,P001,SQ001,P001_SEQ010_SH080,Low,77,2026-09-18,2027-02-22,In Progress
SH009,P001,SQ001,P001_SEQ010_SH090,Medium,202,2026-09-30,2027-06-26,In Progress
SH010,P001,SQ002,P001_SEQ020_SH010,High,975,2026-07-14,2027-03-29,In Progress
SH011,P001,SQ002,P001_SEQ020_SH020,Medium,237,2026-11-14,2026-12-17,In Progress
SH012,P001,SQ002,P001_SEQ020_SH030,Medium,161,2026-08-25,2027-02-25,In Progress
SH013,P001,SQ002,P001_SEQ020_SH040,Low,67,2026-11-21,2027-03-04,In Progress
SH014,P001,SQ002,P001_SEQ020_SH050,Low,53,2026-10-05,2026-11-26,In Progress
SH015,P001,SQ002,P001_SEQ020_SH060,Medium,207,2026-08-22,2027-01-19,In Progress
SH016,P001,SQ002,P001_SEQ020_SH070,Low,80,2026-11-09,2027-04-06,In Progress
SH017,P001,SQ002,P001_SEQ020_SH080,Low,116,2026-10-19,2027-03-09,In Progress
SH018,P001,SQ002,P001_SEQ020_SH090,Low,67,2026-07-14,2026-09-28,In Progress
SH019,P001,SQ002,P001_SEQ020_SH100,Low,118,2026-09-30,2026-12-07,In Progress
SH020,P001,SQ002,P001_SEQ020_SH110,Medium,136,2026-10-19,2027-02-10,In Progress
SH021,P001,SQ002,P001_SEQ020_SH120,Low,107,2026-11-16,2027-02-23,In Progress
SH022,P001,SQ002,P001_SEQ020_SH130,Low,97,2026-09-07,2026-09-16,In Progress
SH023,P001,SQ002,P001_SEQ020_SH140,High,618,2026-06-12,2026-11-06,In Progress
SH024,P001,SQ002,P001_SEQ020_SH150,Medium,171,2026-04-26,2027-06-19,In Progress
SH025,P001,SQ002,P001_SEQ020_SH160,High,907,2026-09-01,2027-06-04,In Progress
SH026,P001,SQ002,P001_SEQ020_SH170,High,842,2026-06-18,2026-12-17,In Progress
SH027,P001,SQ002,P001_SEQ020_SH180,Medium,227,2026-11-14,2027-01-18,In Progress
SH028,P001,SQ002,P001_SEQ020_SH190,High,833,2026-10-20,2027-04-16,In Progress
SH029,P001,SQ002,P001_SEQ020_SH200,High,959,2026-08-07,2026-12-26,In Progress
SH030,P001,SQ002,P001_SEQ020_SH210,Low,49,2026-09-16,2027-03-30,In Progress
SH031,P001,SQ002,P001_SEQ020_SH220,Medium,297,2026-09-06,2026-12-20,In Progress
SH032,P001,SQ002,P001_SEQ020_SH230,Medium,168,2026-10-29,2027-06-08,In Progress
SH033,P001,SQ002,P001_SEQ020_SH240,Medium,216,2026-09-22,2027-06-23,In Progress
SH034,P001,SQ002,P001_SEQ020_SH250,Low,97,2026-05-20,2026-06-08,Completed
SH035,P001,SQ002,P001_SEQ020_SH260,Medium,208,2026-08-17,2027-04-30,In Progress
SH036,P001,SQ002,P001_SEQ020_SH270,Low,115,2026-10-23,2027-03-17,In Progress
SH037,P001,SQ002,P001_SEQ020_SH280,Medium,143,2026-08-28,2027-06-23,In Progress
SH038,P001,SQ002,P001_SEQ020_SH290,Medium,195,2026-06-19,2027-05-07,In Progress
SH039,P001,SQ002,P001_SEQ020_SH300,Medium,253,2026-07-15,2027-06-18,In Progress
SH040,P001,SQ002,P001_SEQ020_SH310,Medium,179,2026-06-25,2027-04-03,In Progress
SH041,P001,SQ002,P001_SEQ020_SH320,Medium,218,2026-11-08,2027-01-06,In Progress
SH042,P001,SQ002,P001_SEQ020_SH330,High,998,2026-08-21,2027-06-06,In Progress
SH043,P001,SQ002,P001_SEQ020_SH340,Low,42,2026-11-08,2026-12-23,In Progress
SH044,P001,SQ002,P001_SEQ020_SH350,Medium,219,2026-07-11,2027-02-17,In Progress
SH045,P001,SQ002,P001_SEQ020_SH360,High,420,2026-06-22,2026-12-06,In Progress
SH046,P001,SQ002,P001_SEQ020_SH370,Low,40,2026-07-11,2026-09-10,In Progress
SH047,P001,SQ002,P001_SEQ020_SH380,Medium,144,2026-06-24,2027-06-24,In Progress
SH048,P001,SQ002,P001_SEQ020_SH390,Low,58,2026-10-16,2027-05-22,In Progress
SH049,P001,SQ002,P001_SEQ020_SH400,High,800,2026-09-29,2027-05-31,In Progress
SH050,P001,SQ002,P001_SEQ020_SH410,Low,53,2026-05-21,2027-05-16,In Progress
SH051,P001,SQ002,P001_SEQ020_SH420,Low,47,2026-08-26,2026-10-15,In Progress
SH052,P001,SQ002,P001_SEQ020_SH430,Low,88,2026-07-05,2026-08-02,In Progress
SH053,P001,SQ002,P001_SEQ020_SH440,Medium,225,2026-07-01,2027-01-31,In Progress
SH054,P001,SQ002,P001_SEQ020_SH450,Low,52,2026-08-25,2026-10-05,In Progress
SH055,P001,SQ002,P001_SEQ020_SH460,Medium,236,2026-06-08,2026-07-09,In Progress
SH056,P001,SQ002,P001_SEQ020_SH470,Medium,187,2026-08-11,2026-11-22,In Progress
SH057,P001,SQ002,P001_SEQ020_SH480,High,650,2026-05-06,2026-10-11,In Progress
SH058,P001,SQ002,P001_SEQ020_SH490,Medium,132,2026-05-26,2026-07-09,In Progress
SH059,P001,SQ002,P001_SEQ020_SH500,High,554,2026-05-08,2026-10-21,In Progress
SH060,P001,SQ002,P001_SEQ020_SH510,Medium,155,2026-09-14,2027-06-27,In Progress
SH061,P001,SQ002,P001_SEQ020_SH520,High,462,2026-05-03,2027-04-17,In Progress
SH062,P001,SQ002,P001_SEQ020_SH530,Medium,260,2026-08-13,2026-12-11,In Progress
SH063,P001,SQ002,P001_SEQ020_SH540,Low,119,2026-05-08,2027-04-11,In Progress
