assignment_id,task_id,artist_id,assigned_hours,assignment_date
TA001,T001,A216,12.0,2027-01-31
TA002,T002,A271,7.0,2026-12-31
TA003,T003,A118,14.29,2026-09-06
TA004,T003,A105,38.71,2026-09-06
TA005,T004,A216,23.0,2026-08-25
TA006,T005,A283,35.0,2026-12-17
TA007,T006,A084,10.0,2027-02-01
TA008,T007,A203,10.0,2027-02-02
TA009,T008,A227,9.0,2027-01-30
TA010,T009,A032,32.57,2026-12-26
TA011,T009,A014,78.05,2026-12-26
TA012,T009,A033,8.49,2026-12-26
TA013,T009,A011,46.89,2026-12-26
TA014,T010,A054,16.53,2027-01-06
TA015,T010,A044,32.26,2027-01-06
TA016,T010,A056,85.21,2027-01-06
TA017,T011,A110,40.62,2027-03-01
TA018,T011,A118,63.34,2027-03-01
TA019,T011,A067,55.65,2027-03-01
TA020,T011,A113,20.39,2027-03-01
TA021,T012,A126,74.38,2027-01-31
TA022,T012,A129,18.13,2027-01-31
TA023,T012,A136,54.48,2027-01-31
TA024,T013,A198,5.85,2027-03-07
TA025,T013,A199,122.15,2027-03-07
TA026,T014,A208,84.0,2027-03-17
TA027,T015,A229,61.24,2027-01-24
TA028,T015,A247,21.76,2027-01-24
TA029,T016,A088,15.0,2026-11-02
TA030,T017,A217,8.0,2026-10-29
TA031,T018,A231,15.0,2026-10-31
TA032,T019,A094,42.0,2026-07-02
TA033,T020,A121,28.0,2026-07-04
TA034,T021,A215,21.0,2026-06-30
TA035,T022,A281,25.0,2026-06-30
TA036,T023,A120,18.0,2027-01-28
TA037,T024,A211,11.0,2026-11-08
TA038,T025,A237,10.0,2026-10-16
TA039,T026,A209,7.0,2026-11-25
TA040,T027,A284,6.0,2026-11-14
TA041,T028,A078,30.0,2026-10-14
TA042,T029,A149,35.0,2026-09-28
TA043,T030,A201,51.33,2026-10-05
TA044,T030,A204,7.67,2026-10-05
TA045,T031,A294,24.0,2026-12-30
TA046,T032,A025,8.09,2026-11-02
TA047,T032,A021,24.58,2026-11-02
TA048,T032,A022,31.09,2026-11-02
TA049,T032,A009,117.23,2026-11-02
TA050,T033,A052,67.0,2026-10-13
TA051,T034,A084,1.29,2026-10-15
TA052,T034,A091,6.33,2026-10-15
TA053,T034,A064,148.39,2026-10-15
TA054,T035,A134,24.1,2026-10-30
TA055,T035,A128,21.27,2026-10-30
TA056,T035,A124,127.64,2026-10-30
TA057,T036,A187,138.93,2026-11-04
TA058,T036,A155,9.06,2026-11-04
TA059,T036,A195,38.01,2026-11-04
TA060,T037,A214,12.87,2026-10-31
TA061,T037,A216,13.3,2026-10-31
TA062,T037,A201,95.84,2026-10-31
TA063,T037,A208,39.98,2026-10-31
TA064,T038,A277,44.64,2026-10-28
TA065,T038,A264,34.36,2026-10-28
TA066,T039,A080,33.01,2026-11-12
TA067,T039,A091,8.99,2026-11-12
TA068,T040,A202,22.0,2026-11-24
TA069,T041,A289,44.0,2026-11-14
TA070,T042,A065,37.0,2026-09-24
TA071,T043,A127,20.99,2026-09-13
TA072,T043,A123,29.01,2026-09-13
TA073,T044,A202,30.0,2026-10-22
TA074,T045,A227,35.0,2026-10-07
TA075,T046,A216,15.0,2026-11-20
TA076,T047,A286,5.0,2027-01-02
TA077,T048,A218,16.0,2026-10-11
TA078,T049,A250,7.0,2026-10-08
TA079,T050,A096,42.0,2026-09-06
TA080,T051,A128,36.0,2026-08-20
TA081,T052,A206,25.0,2026-10-03
TA082,T053,A275,20.36,2026-09-15
TA083,T053,A238,35.64,2026-09-15
TA084,T054,A106,14.0,2026-12-23
TA085,T055,A209,8.0,2026-12-29
TA086,T056,A277,13.0,2026-12-11
TA087,T057,A219,18.0,2026-12-02
TA088,T058,A296,19.0,2026-12-13
TA089,T059,A204,15.0,2026-07-26
TA090,T060,A264,11.0,2026-08-10
TA091,T061,A064,13.0,2026-10-07
TA092,T062,A214,7.0,2026-10-11
TA093,T063,A259,17.0,2026-10-26
TA094,T064,A120,35.0,2026-11-02
TA095,T065,A152,34.0,2026-10-16
TA096,T066,A207,24.0,2026-11-19
TA097,T067,A239,25.22,2026-11-08
TA098,T067,A231,22.78,2026-11-08
TA099,T068,A207,19.0,2026-11-30
TA100,T069,A300,11.0,2026-11-11
TA101,T070,A109,18.0,2026-09-02
TA102,T071,A209,19.0,2026-09-03
TA103,T072,A265,6.0,2026-09-05
TA104,T073,A002,86.0,2026-08-14
TA105,T073,A007,11.4,2026-08-14
TA106,T073,A012,101.6,2026-08-14
TA107,T074,A053,74.0,2026-07-16
TA108,T075,A119,129.55,2026-06-28
TA109,T075,A114,15.45,2026-06-28
TA110,T076,A139,43.13,2026-07-17
TA111,T076,A133,16.09,2026-07-17
TA112,T076,A121,66.59,2026-07-17
TA113,T076,A132,22.2,2026-07-17
TA114,T077,A170,67.0,2026-08-14
TA115,T078,A216,64.16,2026-08-09
TA116,T078,A206,86.84,2026-08-09
TA117,T079,A281,54.85,2026-06-22
TA118,T079,A255,77.04,2026-06-22
TA119,T079,A287,23.73,2026-06-22
TA120,T079,A262,18.38,2026-06-22
TA121,T080,A116,37.0,2026-04-26
TA122,T081,A139,44.0,2026-10-27
TA123,T082,A213,34.0,2026-10-22
TA124,T083,A294,37.0,2026-07-10
TA125,T084,A012,97.0,2026-09-22
TA126,T085,A047,61.71,2026-10-27
TA127,T085,A046,24.29,2026-10-27
TA128,T086,A080,26.11,2026-11-19
TA129,T086,A087,46.46,2026-11-19
TA130,T086,A099,93.09,2026-11-19
TA131,T086,A061,15.34,2026-11-19
TA132,T087,A133,92.9,2026-10-13
TA133,T087,A128,50.1,2026-10-13
TA134,T088,A166,43.31,2026-09-28
TA135,T088,A145,57.69,2026-09-28
TA136,T089,A212,68.17,2026-12-25
TA137,T089,A207,59.7,2026-12-25
TA138,T089,A220,11.13,2026-12-25
TA139,T090,A274,11.83,2026-12-23
TA140,T090,A267,118.3,2026-12-23
TA141,T090,A244,43.88,2026-12-23
TA142,T091,A018,37.06,2026-07-12
TA143,T091,A008,88.94,2026-07-12
TA144,T092,A057,44.77,2026-06-23
TA145,T092,A060,31.23,2026-06-23
TA146,T093,A085,28.24,2026-08-12
TA147,T093,A119,60.17,2026-08-12
TA148,T093,A070,25.96,2026-08-12
TA149,T093,A065,62.64,2026-08-12
TA150,T094,A139,79.62,2026-08-29
TA151,T094,A123,2.38,2026-08-29
TA152,T095,A194,6.52,2026-08-13
TA153,T095,A163,58.48,2026-08-13
TA154,T096,A215,79.76,2026-08-20
TA155,T096,A211,70.28,2026-08-20
TA156,T096,A204,25.96,2026-08-20
TA157,T097,A284,38.58,2026-06-13
TA158,T097,A274,31.42,2026-06-13
TA159,T098,A085,25.42,2026-11-18
TA160,T098,A075,19.58,2026-11-18
TA161,T099,A183,15.32,2026-11-10
TA162,T099,A169,31.68,2026-11-10
TA163,T100,A218,24.0,2026-11-26
TA164,T101,A283,40.0,2026-12-03
TA165,T102,A013,39.17,2026-11-18
TA166,T102,A001,26.53,2026-11-18
TA167,T102,A039,19.76,2026-11-18
TA168,T102,A031,18.55,2026-11-18
TA169,T103,A059,66.0,2026-12-19
TA170,T104,A106,62.0,2026-10-27
TA171,T105,A134,11.8,2026-11-24
TA172,T105,A135,14.87,2026-11-24
TA173,T105,A131,77.34,2026-11-24
TA174,T106,A154,4.2,2026-11-17
TA175,T106,A169,89.8,2026-11-17
TA176,T107,A211,89.0,2026-10-15
TA177,T108,A236,89.0,2026-11-25
TA178,T109,A014,188.56,2026-08-24
TA179,T109,A001,7.44,2026-08-24
TA180,T110,A057,39.16,2026-10-04
TA181,T110,A060,65.5,2026-10-04
TA182,T110,A046,3.85,2026-10-04
TA183,T110,A056,35.48,2026-10-04
TA184,T111,A065,6.69,2026-09-08
TA185,T111,A087,68.44,2026-09-08
TA186,T111,A095,70.86,2026-09-08
TA187,T112,A137,46.68,2026-08-28
TA188,T112,A138,28.54,2026-08-28
TA189,T112,A132,90.78,2026-08-28
TA190,T113,A156,75.84,2026-09-10
TA191,T113,A198,79.16,2026-09-10
TA192,T114,A218,77.98,2026-10-08
TA193,T114,A214,84.02,2026-10-08
TA194,T115,A267,43.74,2026-08-10
