task_id,project_id,sequence_id,shot_id,department,estimated_hours,priority,start_date,end_date,status
T001,P001,SQ001,SH001,Lighting,12,Low,2027-01-31,2027-03-21,In Progress
T002,P001,SQ001,SH001,Compositing,7,Low,2026-12-31,2027-04-08,In Progress
T003,P001,SQ001,SH002,Animation,53,Medium,2026-09-06,2026-10-25,In Progress
T004,P001,SQ001,SH002,Lighting,23,Low,2026-08-25,2027-03-03,In Progress
T005,P001,SQ001,SH002,Compositing,35,Low,2026-12-17,2027-05-31,In Progress
T006,P001,SQ001,SH003,Animation,10,Low,2027-02-01,2027-02-17,In Progress
T007,P001,SQ001,SH003,Lighting,10,Medium,2027-02-02,2027-03-18,In Progress
T008,P001,SQ001,SH003,Compositing,9,Medium,2027-01-30,2027-03-06,In Progress
T009,P001,SQ001,SH004,Modeling,166,High,2026-12-26,2027-02-25,In Progress
T010,P001,SQ001,SH004,Rigging,134,High,2027-01-06,2027-02-12,In Progress
T011,P001,SQ001,SH004,Animation,180,High,2027-03-01,2027-06-12,In Progress
T012,P001,SQ001,SH004,CFX,147,High,2027-01-31,2027-05-29,In Progress
T013,P001,SQ001,SH004,FX,128,High,2027-03-07,2027-04-22,In Progress
T014,P001,SQ001,SH004,Lighting,84,High,2027-03-17,2027-04-24,In Progress
T015,P001,SQ001,SH004,Compositing,83,Medium,2027-01-24,2027-05-15,In Progress
T016,P001,SQ001,SH005,Animation,15,Low,2026-11-02,2026-11-08,In Progress
T017,P001,SQ001,SH005,Lighting,8,Low,2026-10-29,2026-11-11,In Progress
T018,P001,SQ001,SH005,Compositing,15,Low,2026-10-31,2026-11-02,In Progress
T019,P001,SQ001,SH006,Animation,42,High,2026-07-02,2026-07-04,In Progress
T020,P001,SQ001,SH006,CFX,28,Low,2026-07-04,2026-07-07,In Progress
T021,P001,SQ001,SH006,Lighting,21,Low,2026-06-30,2026-07-10,In Progress
T022,P001,SQ001,SH006,Compositing,25,Medium,2026-06-30,2026-07-15,In Progress
T023,P001,SQ001,SH007,Animation,18,Medium,2027-01-28,2027-02-25,In Progress
T024,P001,SQ001,SH007,Lighting,11,Low,2026-11-08,2027-04-22,In Progress
T025,P001,SQ001,SH007,Compositing,10,Low,2026-10-16,2027-03-22,In Progress
T026,P001,SQ001,SH008,Lighting,7,Low,2026-11-25,2026-12-09,In Progress
T027,P001,SQ001,SH008,Compositing,6,Low,2026-11-14,2027-01-17,In Progress
T028,P001,SQ001,SH009,Animation,30,High,2026-10-14,2027-04-14,In Progress
T029,P001,SQ001,SH009,FX,35,High,2026-09-28,2027-05-20,In Progress
T030,P001,SQ001,SH009,Lighting,59,High,2026-10-05,2027-01-19,In Progress
T031,P001,SQ001,SH009,Compositing,24,Low,2026-12-30,2027-04-29,In Progress
T032,P001,SQ002,SH010,Modeling,181,High,2026-11-02,2026-11-07,In Progress
T033,P001,SQ002,SH010,Rigging,67,Medium,2026-10-13,2026-10-27,In Progress
T034,P001,SQ002,SH010,Animation,156,High,2026-10-15,2026-10-29,In Progress
T035,P001,SQ002,SH010,CFX,173,High,2026-10-30,2026-11-12,In Progress
T036,P001,SQ002,SH010,FX,186,High,2026-11-04,2027-03-22,In Progress
T037,P001,SQ002,SH010,Lighting,162,High,2026-10-31,2026-11-15,In Progress
T038,P001,SQ002,SH010,Compositing,79,High,2026-10-28,2027-03-08,In Progress
T039,P001,SQ002,SH011,Animation,42,Low,2026-11-12,2026-11-29,In Progress
T040,P001,SQ002,SH011,Lighting,22,Medium,2026-11-24,2026-12-10,In Progress
T041,P001,SQ002,SH011,Compositing,44,High,2026-11-14,2026-12-08,In Progress
T042,P001,SQ002,SH012,Animation,37,Medium,2026-09-24,2027-02-09,In Progress
T043,P001,SQ002,SH012,CFX,50,Medium,2026-09-13,2027-02-18,In Progress
T044,P001,SQ002,SH012,Lighting,30,Low,2026-10-22,2027-02-01,In Progress
T045,P001,SQ002,SH012,Compositing,35,Medium,2026-10-07,2026-10-30,In Progress
T046,P001,SQ002,SH013,Lighting,15,Low,2026-11-20,2027-01-16,In Progress
T047,P001,SQ002,SH013,Compositing,5,Low,2027-01-02,2027-01-30,In Progress
T048,P001,SQ002,SH014,Lighting,16,Low,2026-10-11,2026-10-27,In Progress
T049,P001,SQ002,SH014,Compositing,7,Medium,2026-10-08,2026-11-17,In Progress
T050,P001,SQ002,SH015,Animation,42,High,2026-09-06,2026-10-06,In Progress
T051,P001,SQ002,SH015,CFX,36,Medium,2026-08-20,2026-08-30,In Progress
T052,P001,SQ002,SH015,Lighting,25,Medium,2026-10-03,2026-11-25,In Progress
T053,P001,SQ002,SH015,Compositing,56,Low,2026-09-15,2026-11-15,In Progress
T054,P001,SQ002,SH016,Animation,14,Medium,2026-12-23,2027-01-03,In Progress
T055,P001,SQ002,SH016,Lighting,8,Low,2026-12-29,2027-01-13,In Progress
T056,P001,SQ002,SH016,Compositing,13,Low,2026-12-11,2027-03-25,In Progress
T057,P001,SQ002,SH017,Lighting,18,Medium,2026-12-02,2026-12-03,In Progress
T058,P001,SQ002,SH017,Compositing,19,Low,2026-12-13,2027-02-07,In Progress
T059,P001,SQ002,SH018,Lighting,15,Medium,2026-07-26,2026-08-21,In Progress
T060,P001,SQ002,SH018,Compositing,11,Low,2026-08-10,2026-09-18,In Progress
T061,P001,SQ002,SH019,Animation,13,Medium,2026-10-07,2026-10-20,In Progress
T062,P001,SQ002,SH019,Lighting,7,Low,2026-10-11,2026-11-21,In Progress
T063,P001,SQ002,SH019,Compositing,17,Medium,2026-10-26,2026-11-12,In Progress
T064,P001,SQ002,SH020,Animation,35,Medium,2026-11-02,2027-01-29,In Progress
T065,P001,SQ002,SH020,FX,34,Low,2026-10-16,2026-11-01,In Progress
T066,P001,SQ002,SH020,Lighting,24,Low,2026-11-19,2027-01-22,In Progress
T067,P001,SQ002,SH020,Compositing,48,Medium,2026-11-08,2026-12-29,In Progress
T068,P001,SQ002,SH021,Lighting,19,Low,2026-11-30,2026-12-10,In Progress
T069,P001,SQ002,SH021,Compositing,11,Medium,2026-11-11,2026-12-25,In Progress
T070,P001,SQ002,SH022,Animation,18,Low,2026-09-02,2026-09-11,In Progress
T071,P001,SQ002,SH022,Lighting,19,Low,2026-09-03,2026-09-08,In Progress
T072,P001,SQ002,SH022,Compositing,6,Low,2026-09-05,2026-09-10,In Progress
T073,P001,SQ002,SH023,Modeling,199,Medium,2026-08-14,2026-10-06,In Progress
T074,P001,SQ002,SH023,Rigging,74,Medium,2026-07-16,2026-07-31,In Progress
T075,P001,SQ002,SH023,Animation,145,Medium,2026-06-28,2026-07-14,In Progress
T076,P001,SQ002,SH023,CFX,148,High,2026-07-17,2026-07-28,In Progress
T077,P001,SQ002,SH023,FX,67,High,2026-08-14,2026-09-20,In Progress
T078,P001,SQ002,SH023,Lighting,151,High,2026-08-09,2026-08-25,In Progress
T079,P001,SQ002,SH023,Compositing,174,High,2026-06-22,2026-06-28,In Progress
T080,P001,SQ002,SH024,Animation,37,High,2026-04-26,2026-10-12,In Progress
T081,P001,SQ002,SH024,CFX,44,Low,2026-10-27,2027-02-06,In Progress
T082,P001,SQ002,SH024,Lighting,34,Low,2026-10-22,2027-02-21,In Progress
T083,P001,SQ002,SH024,Compositing,37,High,2026-07-10,2027-02-25,In Progress
T084,P001,SQ002,SH025,Modeling,97,High,2026-09-22,2027-04-10,In Progress
T085,P001,SQ002,SH025,Rigging,86,High,2026-10-27,2027-04-08,In Progress
T086,P001,SQ002,SH025,Animation,181,Medium,2026-11-19,2027-01-22,In Progress
T087,P001,SQ002,SH025,CFX,143,High,2026-10-13,2027-01-20,In Progress
T088,P001,SQ002,SH025,FX,101,High,2026-09-28,2027-03-06,In Progress
T089,P001,SQ002,SH025,Lighting,139,High,2026-12-25,2027-02-08,In Progress
T090,P001,SQ002,SH025,Compositing,174,Medium,2026-12-23,2026-12-29,In Progress
T091,P001,SQ002,SH026,Modeling,126,High,2026-07-12,2026-10-28,In Progress
T092,P001,SQ002,SH026,Rigging,76,High,2026-06-23,2026-07-03,In Progress
T093,P001,SQ002,SH026,Animation,177,Medium,2026-08-12,2026-08-21,In Progress
T094,P001,SQ002,SH026,CFX,82,High,2026-08-29,2026-10-08,In Progress
T095,P001,SQ002,SH026,FX,65,High,2026-08-13,2026-09-29,In Progress
T096,P001,SQ002,SH026,Lighting,176,High,2026-08-20,2026-09-28,In Progress
T097,P001,SQ002,SH026,Compositing,70,Medium,2026-06-13,2026-11-30,In Progress
T098,P001,SQ002,SH027,Animation,45,High,2026-11-18,2026-12-07,In Progress
T099,P001,SQ002,SH027,FX,47,Medium,2026-11-10,2026-12-05,In Progress
T100,P001,SQ002,SH027,Lighting,24,Medium,2026-11-26,2026-12-27,In Progress
T101,P001,SQ002,SH027,Compositing,40,High,2026-12-03,2027-01-09,In Progress
T102,P001,SQ002,SH028,Modeling,104,High,2026-11-18,2026-12-26,In Progress
T103,P001,SQ002,SH028,Rigging,66,Medium,2026-12-19,2027-03-02,In Progress
T104,P001,SQ002,SH028,Animation,62,Medium,2026-10-27,2027-03-24,In Progress
T105,P001,SQ002,SH028,CFX,104,Medium,2026-11-24,2026-12-21,In Progress
T106,P001,SQ002,SH028,FX,94,High,2026-11-17,2027-01-17,In Progress
T107,P001,SQ002,SH028,Lighting,89,High,2026-10-15,2027-03-01,In Progress
T108,P001,SQ002,SH028,Compositing,89,Medium,2026-11-25,2027-02-13,In Progress
T109,P001,SQ002,SH029,Modeling,196,High,2026-08-24,2026-10-10,In Progress
T110,P001,SQ002,SH029,Rigging,144,Medium,2026-10-04,2026-11-06,In Progress
T111,P001,SQ002,SH029,Animation,146,Medium,2026-09-08,2026-12-17,In Progress
T112,P001,SQ002,SH029,CFX,166,High,2026-08-28,2026-12-02,In Progress
T113,P001,SQ002,SH029,FX,155,High,2026-09-10,2026-10-02,In Progress
T114,P001,SQ002,SH029,Lighting,162,High,2026-10-08,2026-11-01,In Progress
T115,P001,SQ002,SH029,Compositing,177,High,2026-08-10,2026-12-04,In Progress
T116,P001,SQ002,SH030,Lighting,17,Low,2026-11-21,2026-12-10,In Progress
T117,P001,SQ002,SH030,Compositing,12,Low,2026-11-23,2027-02-23,In Progress
T118,P001,SQ002,SH031,Animation,33,Medium,2026-10-02,2026-10-22,In Progress
T119,P001,SQ002,SH031,FX,38,High,2026-09-02,2026-11-19,In Progress
T120,P001,SQ002,SH031,Lighting,51,High,2026-09-04,2026-12-15,In Progress
T121,P001,SQ002,SH031,Compositing,20,Medium,2026-09-20,2026-11-22,In Progress
T122,P001,SQ002,SH032,Animation,40,Medium,2026-12-27,2027-01-21,In Progress
T123,P001,SQ002,SH032,CFX,23,Low,2026-10-31,2026-12-08,In Progress
T124,P001,SQ002,SH032,Lighting,30,Medium,2027-01-25,2027-02-27,In Progress
T125,P001,SQ002,SH032,Compositing,28,Medium,2027-01-23,2027-04-04,In Progress
T126,P001,SQ002,SH033,Animation,28,Low,2027-01-01,2027-05-22,In Progress
T127,P001,SQ002,SH033,FX,25,Medium,2026-11-10,2026-12-22,In Progress
T128,P001,SQ002,SH033,Lighting,51,Low,2026-10-02,2027-05-03,In Progress
T129,P001,SQ002,SH033,Compositing,25,Medium,2026-10-25,2026-12-17,In Progress
T130,P001,SQ002,SH034,Animation,7,Medium,2026-05-16,2026-05-29,Completed
T131,P001,SQ002,SH034,Lighting,5,Low,2026-05-23,2026-05-24,Completed
T132,P001,SQ002,SH034,Compositing,5,Medium,2026-05-17,2026-05-21,Completed
T133,P001,SQ002,SH035,Animation,47,High,2026-11-20,2027-04-18,In Progress
T134,P001,SQ002,SH035,Lighting,58,Medium,2026-11-01,2027-01-27,In Progress
T135,P001,SQ002,SH035,Compositing,43,Low,2026-08-24,2027-03-03,In Progress
T136,P001,SQ002,SH036,Lighting,19,Low,2026-10-27,2026-11-14,In Progress
T137,P001,SQ002,SH036,Compositing,12,Low,2026-12-03,2026-12-10,In Progress
T138,P001,SQ002,SH037,Animation,47,High,2026-09-03,2027-05-23,In Progress
T139,P001,SQ002,SH037,Lighting,53,High,2026-11-30,2027-03-17,In Progress
T140,P001,SQ002,SH037,Compositing,54,High,2026-10-07,2027-01-04,In Progress
T141,P001,SQ002,SH038,Animation,27,Low,2026-09-19,2027-02-14,In Progress
T142,P001,SQ002,SH038,FX,26,Medium,2026-08-12,2026-11-14,In Progress
T143,P001,SQ002,SH038,Lighting,51,Low,2026-10-16,2027-02-27,In Progress
T144,P001,SQ002,SH038,Compositing,42,Medium,2026-08-06,2026-12-29,In Progress
T145,P001,SQ002,SH039,Animation,23,Medium,2026-08-26,2027-01-15,In Progress
T146,P001,SQ002,SH039,FX,48,High,2026-10-19,2027-01-22,In Progress
T147,P001,SQ002,SH039,Lighting,28,Medium,2026-09-05,2026-12-18,In Progress
T148,P001,SQ002,SH039,Compositing,27,High,2026-08-14,2027-04-04,In Progress
T149,P001,SQ002,SH040,Animation,45,Low,2026-10-01,2026-10-10,In Progress
T150,P001,SQ002,SH040,FX,27,Medium,2026-07-19,2026-08-22,In Progress
T151,P001,SQ002,SH040,Lighting,29,Medium,2026-10-10,2027-01-08,In Progress
T152,P001,SQ002,SH040,Compositing,35,Medium,2026-06-25,2026-07-09,In Progress
T153,P001,SQ002,SH041,Animation,42,Medium,2026-11-20,2026-12-07,In Progress
T154,P001,SQ002,SH041,CFX,59,Medium,2026-11-19,2026-12-05,In Progress
T155,P001,SQ002,SH041,Lighting,33,Low,2026-12-01,2026-12-24,In Progress
T156,P001,SQ002,SH041,Compositing,28,Medium,2026-11-20,2026-12-29,In Progress
T157,P001,SQ002,SH042,Modeling,127,Medium,2026-11-12,2027-01-23,In Progress
T158,P001,SQ002,SH042,Rigging,70,High,2026-10-25,2027-06-01,In Progress
T159,P001,SQ002,SH042,Animation,188,High,2026-08-21,2026-09-04,In Progress
T160,P001,SQ002,SH042,CFX,80,Medium,2026-09-01,2026-10-15,In Progress
T161,P001,SQ002,SH042,FX,95,High,2026-10-31,2027-04-13,In Progress
T162,P001,SQ002,SH042,Lighting,78,High,2026-12-13,2026-12-29,In Progress
T163,P001,SQ002,SH042,Compositing,65,High,2027-01-04,2027-06-01,In Progress
T164,P001,SQ002,SH043,Lighting,7,Low,2026-11-08,2026-12-14,In Progress
T165,P001,SQ002,SH043,Compositing,17,Medium,2026-11-20,2026-12-18,In Progress
T166,P001,SQ002,SH044,Animation,37,Medium,2026-09-25,2026-11-06,In Progress
T167,P001,SQ002,SH044,FX,58,Medium,2026-10-15,2026-11-21,In Progress
T168,P001,SQ002,SH044,Lighting,42,High,2026-08-06,2027-01-06,In Progress
T169,P001,SQ002,SH044,Compositing,49,Medium,2026-07-06,2026-07-07,In Progress
T170,P001,SQ002,SH045,Modeling,181,High,2026-06-29,2026-07-04,In Progress
T171,P001,SQ002,SH045,Rigging,159,High,2026-09-04,2026-11-10,In Progress
T172,P001,SQ002,SH045,Animation,121,High,2026-06-27,2026-10-12,In Progress
T173,P001,SQ002,SH045,CFX,196,Medium,2026-08-15,2026-10-21,In Progress
T174,P001,SQ002,SH045,FX,73,High,2026-08-27,2026-11-01,In Progress
T175,P001,SQ002,SH045,Lighting,92,High,2026-07-04,2026-10-23,In Progress
T176,P001,SQ002,SH045,Compositing,146,High,2026-06-29,2026-10-30,In Progress
T177,P001,SQ002,SH046,Lighting,18,Low,2026-07-28,2026-08-15,In Progress
T178,P001,SQ002,SH046,Compositing,14,Low,2026-07-22,2026-08-15,In Progress
