timesheet_id,assignment_id,artist_id,work_date,hours_logged
TS001,TA001,A216,2027-02-05,5.58
TS002,TA001,A216,2027-02-08,6.76
TS003,TA001,A216,2027-02-09,1.9
TS004,TA002,A271,2027-01-05,5.48
TS005,TA002,A271,2027-01-06,1.96
TS006,TA003,A118,2026-09-11,4.15
TS007,TA003,A118,2026-09-14,6.4
TS008,TA003,A118,2026-09-15,2.45
TS009,TA004,A105,2026-09-11,5.09
TS010,TA004,A105,2026-09-14,4.8
TS011,TA004,A105,2026-09-15,6.63
TS012,TA004,A105,2026-09-16,5.4
TS013,TA004,A105,2026-09-17,7.26
TS014,TA004,A105,2026-09-18,5.98
TS015,TA004,A105,2026-09-21,5.6
TS016,TA005,A216,2026-08-30,6.85
TS017,TA005,A216,2026-08-31,6.42
TS018,TA005,A216,2026-09-01,4.97
TS019,TA005,A216,2026-09-02,4.38
TS020,TA005,A216,2026-09-03,3.56
TS021,TA006,A283,2026-12-22,5.8
TS022,TA006,A283,2026-12-23,7.61
TS023,TA006,A283,2026-12-24,4.94
TS024,TA006,A283,2026-12-25,6.22
TS025,TA006,A283,2026-12-28,5.1
TS026,TA006,A283,2026-12-29,2.1
TS027,TA007,A084,2027-02-06,6.8
TS028,TA007,A084,2027-02-08,1.92
TS029,TA008,A203,2027-02-07,5.0
TS030,TA008,A203,2027-02-08,5.67
TS031,TA008,A203,2027-02-09,0.89
TS032,TA009,A227,2027-02-04,6.98
TS033,TA009,A227,2027-02-05,0.78
TS034,TA010,A032,2026-12-31,5.93
TS035,TA010,A032,2027-01-01,7.72
TS036,TA010,A032,2027-01-04,6.77
TS037,TA010,A032,2027-01-05,7.83
TS038,TA010,A032,2027-01-06,4.28
TS039,TA011,A014,2026-12-31,4.16
TS040,TA011,A014,2027-01-01,6.96
TS041,TA011,A014,2027-01-04,7.7
TS042,TA011,A014,2027-01-05,4.61
TS043,TA011,A014,2027-01-06,4.67
TS044,TA011,A014,2027-01-07,4.02
TS045,TA011,A014,2027-01-08,5.34
TS046,TA011,A014,2027-01-11,7.75
TS047,TA011,A014,2027-01-12,7.08
TS048,TA011,A014,2027-01-13,6.87
TS049,TA011,A014,2027-01-14,4.51
TS050,TA011,A014,2027-01-15,6.99
TS051,TA011,A014,2027-01-18,6.83
TS052,TA011,A014,2027-01-19,2.99
TS053,TA012,A033,2026-12-31,6.09
TS054,TA012,A033,2027-01-01,2.45
TS055,TA013,A011,2026-12-31,7.13
TS056,TA013,A011,2027-01-01,5.42
TS057,TA013,A011,2027-01-04,4.13
TS058,TA013,A011,2027-01-05,4.76
TS059,TA013,A011,2027-01-06,5.41
TS060,TA013,A011,2027-01-07,7.57
TS061,TA013,A011,2027-01-08,6.87
TS062,TA013,A011,2027-01-11,7.33
TS063,TA014,A054,2027-01-11,4.18
TS064,TA014,A054,2027-01-12,4.22
TS065,TA014,A054,2027-01-13,6.27
TS066,TA014,A054,2027-01-14,0.41
TS067,TA015,A044,2027-01-11,6.37
TS068,TA015,A044,2027-01-12,4.83
TS069,TA015,A044,2027-01-13,7.65
TS070,TA015,A044,2027-01-14,4.54
TS071,TA015,A044,2027-01-15,4.99
TS072,TA015,A044,2027-01-18,6.51
TS073,TA015,A044,2027-01-19,1.06
TS074,TA016,A056,2027-01-11,5.09
TS075,TA016,A056,2027-01-12,6.51
TS076,TA016,A056,2027-01-13,6.29
TS077,TA016,A056,2027-01-14,4.32
TS078,TA016,A056,2027-01-15,6.7
TS079,TA016,A056,2027-01-18,5.47
TS080,TA016,A056,2027-01-19,6.73
TS081,TA016,A056,2027-01-20,7.06
TS082,TA016,A056,2027-01-21,7.84
TS083,TA016,A056,2027-01-22,5.25
TS084,TA016,A056,2027-01-25,5.44
TS085,TA016,A056,2027-01-26,6.73
TS086,TA016,A056,2027-01-27,7.41
TS087,TA016,A056,2027-01-28,7.21
TS088,TA016,A056,2027-01-29,6.82
TS089,TA016,A056,2027-02-01,6.29
TS090,TA017,A110,2027-03-06,5.05
TS091,TA017,A110,2027-03-08,6.61
TS092,TA017,A110,2027-03-09,5.88
TS093,TA017,A110,2027-03-10,4.01
TS094,TA017,A110,2027-03-11,7.63
TS095,TA017,A110,2027-03-12,4.04
TS096,TA017,A110,2027-03-15,5.88
TS097,TA017,A110,2027-03-16,6.92
TS098,TA017,A110,2027-03-17,2.72
TS099,TA018,A118,2027-03-06,7.95
TS100,TA018,A118,2027-03-08,7.89
TS101,TA018,A118,2027-03-09,6.11
TS102,TA018,A118,2027-03-10,6.29
TS103,TA018,A118,2027-03-11,6.28
TS104,TA018,A118,2027-03-12,4.66
TS105,TA018,A118,2027-03-15,7.22
TS106,TA018,A118,2027-03-16,6.29
TS107,TA018,A118,2027-03-17,6.69
TS108,TA018,A118,2027-03-18,4.06
TS109,TA018,A118,2027-03-19,4.29
TS110,TA019,A067,2027-03-06,6.84
TS111,TA019,A067,2027-03-08,4.09
TS112,TA019,A067,2027-03-09,6.26
TS113,TA019,A067,2027-03-10,7.62
TS114,TA019,A067,2027-03-11,4.47
TS115,TA019,A067,2027-03-12,5.51
TS116,TA019,A067,2027-03-15,7.48
TS117,TA019,A067,2027-03-16,4.86
TS118,TA019,A067,2027-03-17,4.56
TS119,TA019,A067,2027-03-18,5.53
TS120,TA019,A067,2027-03-19,4.96
TS121,TA019,A067,2027-03-22,3.65
TS122,TA020,A113,2027-03-06,5.2
TS123,TA020,A113,2027-03-08,7.43
TS124,TA020,A113,2027-03-09,5.5
TS125,TA020,A113,2027-03-10,2.32
TS126,TA021,A126,2027-02-05,4.29
TS127,TA021,A126,2027-02-08,7.46
TS128,TA021,A126,2027-02-09,4.69
TS129,TA021,A126,2027-02-10,6.81
TS130,TA021,A126,2027-02-11,6.72
TS131,TA021,A126,2027-02-12,5.12
TS132,TA021,A126,2027-02-15,4.63
TS133,TA021,A126,2027-02-16,7.15
TS134,TA021,A126,2027-02-17,7.48
TS135,TA021,A126,2027-02-18,4.29
TS136,TA021,A126,2027-02-19,7.86
TS137,TA021,A126,2027-02-22,1.98
TS138,TA022,A129,2027-02-05,5.74
TS139,TA022,A129,2027-02-08,4.24
TS140,TA022,A129,2027-02-09,5.37
TS141,TA022,A129,2027-02-10,3.59
TS142,TA023,A136,2027-02-05,4.73
TS143,TA023,A136,2027-02-08,7.59
TS144,TA023,A136,2027-02-09,6.01
TS145,TA023,A136,2027-02-10,7.16
TS146,TA023,A136,2027-02-11,6.04
TS147,TA023,A136,2027-02-12,4.45
TS148,TA023,A136,2027-02-15,6.79
TS149,TA023,A136,2027-02-16,7.55
TS150,TA024,A198,2027-03-12,4.9
TS151,TA024,A198,2027-03-15,1.57
TS152,TA025,A199,2027-03-12,6.18
TS153,TA025,A199,2027-03-15,4.34
TS154,TA025,A199,2027-03-16,6.52
TS155,TA025,A199,2027-03-17,4.78
TS156,TA025,A199,2027-03-18,7.06
TS157,TA025,A199,2027-03-19,5.96
TS158,TA025,A199,2027-03-22,4.84
TS159,TA025,A199,2027-03-23,4.03
TS160,TA025,A199,2027-03-24,5.42
TS161,TA025,A199,2027-03-25,4.56
TS162,TA025,A199,2027-03-26,5.31
TS163,TA025,A199,2027-03-29,4.57
TS164,TA025,A199,2027-03-30,4.67
TS165,TA025,A199,2027-03-31,5.65
TS166,TA025,A199,2027-04-01,6.45
TS167,TA025,A199,2027-04-02,4.86
TS168,TA025,A199,2027-04-05,7.58
TS169,TA025,A199,2027-04-06,6.09
TS170,TA025,A199,2027-04-07,4.66
TS171,TA025,A199,2027-04-08,7.74
TS172,TA025,A199,2027-04-09,4.32
TS173,TA025,A199,2027-04-12,3.64
TS174,TA026,A208,2027-03-22,6.65
TS175,TA026,A208,2027-03-23,6.93
TS176,TA026,A208,2027-03-24,7.18
TS177,TA026,A208,2027-03-25,6.01
TS178,TA026,A208,2027-03-26,4.85
TS179,TA026,A208,2027-03-29,5.43
TS180,TA026,A208,2027-03-30,6.1
TS181,TA026,A208,2027-03-31,7.01
TS182,TA026,A208,2027-04-01,5.72
TS183,TA026,A208,2027-04-02,4.48
TS184,TA026,A208,2027-04-05,5.74
TS185,TA026,A208,2027-04-06,5.47
TS186,TA026,A208,2027-04-07,7.59
TS187,TA026,A208,2027-04-08,7.39
TS188,TA026,A208,2027-04-09,6.22
TS189,TA026,A208,2027-04-12,4.8
TS190,TA026,A208,2027-04-13,1.56
TS191,TA027,A229,2027-01-29,4.94
TS192,TA027,A229,2027-02-01,5.03
TS193,TA027,A229,2027-02-02,4.55
TS194,TA027,A229,2027-02-03,7.09
TS195,TA027,A229,2027-02-04,4.02
TS196,TA027,A229,2027-02-05,5.95
TS197,TA027,A229,2027-02-08,7.28
TS198,TA027,A229,2027-02-09,7.29
TS199,TA027,A229,2027-02-10,7.11
TS200,TA027,A229,2027-02-11,4.09
TS201,TA028,A247,2027-01-29,5.93
TS202,TA028,A247,2027-02-01,7.42
TS203,TA028,A247,2027-02-02,6.89
TS204,TA028,A247,2027-02-03,3.21
TS205,TA029,A088,2026-11-07,7.42
TS206,TA029,A088,2026-11-09,5.55
TS207,TA029,A088,2026-11-10,0.82
TS208,TA030,A217,2026-11-03,6.9
TS209,TA031,A231,2026-11-05,4.4
TS210,TA031,A231,2026-11-06,4.28
TS211,TA031,A231,2026-11-09,6.26
TS212,TA032,A094,2026-07-07,5.32
TS213,TA032,A094,2026-07-08,5.19
TS214,TA032,A094,2026-07-09,6.56
TS215,TA032,A094,2026-07-10,4.93
TS216,TA032,A094,2026-07-13,6.32
TS217,TA032,A094,2026-07-14,5.05
TS218,TA032,A094,2026-07-15,7.69
TS219,TA032,A094,2026-07-16,0.36
TS220,TA033,A121,2026-07-09,5.75
TS221,TA033,A121,2026-07-10,7.43
TS222,TA033,A121,2026-07-13,7.09
TS223,TA033,A121,2026-07-14,5.48
TS224,TA034,A215,2026-07-05,7.51
TS225,TA034,A215,2026-07-06,6.61
TS226,TA034,A215,2026-07-07,4.03
TS227,TA035,A281,2026-07-05,7.83
TS228,TA035,A281,2026-07-06,4.91
TS229,TA035,A281,2026-07-07,5.43
TS230,TA035,A281,2026-07-08,3.1
TS231,TA036,A120,2027-02-02,4.69
TS232,TA036,A120,2027-02-03,5.13
TS233,TA036,A120,2027-02-04,5.27
TS234,TA036,A120,2027-02-05,2.72
TS235,TA037,A211,2026-11-13,5.91
TS236,TA037,A211,2026-11-16,5.31
TS237,TA037,A211,2026-11-17,1.26
TS238,TA038,A237,2026-10-21,5.42
TS239,TA038,A237,2026-10-22,4.25
TS240,TA039,A209,2026-11-30,6.01
TS241,TA040,A284,2026-11-19,5.44
TS242,TA040,A284,2026-11-20,0.97
TS243,TA041,A078,2026-10-19,4.2
TS244,TA041,A078,2026-10-20,5.53
TS245,TA041,A078,2026-10-21,5.4
TS246,TA041,A078,2026-10-22,6.37
TS247,TA041,A078,2026-10-23,6.07
TS248,TA042,A149,2026-10-03,6.84
TS249,TA042,A149,2026-10-05,7.58
TS250,TA042,A149,2026-10-06,7.67
TS251,TA042,A149,2026-10-07,4.18
TS252,TA042,A149,2026-10-08,4.05
TS253,TA043,A201,2026-10-10,6.57
TS254,TA043,A201,2026-10-12,5.86
TS255,TA043,A201,2026-10-13,5.86
TS256,TA043,A201,2026-10-14,7.71
TS257,TA043,A201,2026-10-15,7.02
TS258,TA043,A201,2026-10-16,4.61
TS259,TA043,A201,2026-10-19,7.19
TS260,TA043,A201,2026-10-20,6.14
TS261,TA043,A201,2026-10-21,3.29
TS262,TA044,A204,2026-10-10,4.35
TS263,TA044,A204,2026-10-12,3.88
TS264,TA045,A294,2027-01-04,6.52
TS265,TA045,A294,2027-01-05,5.25
TS266,TA045,A294,2027-01-06,6.51
TS267,TA045,A294,2027-01-07,5.96
TS268,TA046,A025,2026-11-07,4.29
TS269,TA046,A025,2026-11-09,2.85
TS270,TA047,A021,2026-11-07,4.89
TS271,TA047,A021,2026-11-09,4.3
TS272,TA047,A021,2026-11-10,4.94
TS273,TA047,A021,2026-11-11,4.34
TS274,TA047,A021,2026-11-12,3.76
TS275,TA048,A022,2026-11-07,5.65
TS276,TA048,A022,2026-11-09,6.28
TS277,TA048,A022,2026-11-10,6.26
TS278,TA048,A022,2026-11-11,4.75
TS279,TA048,A022,2026-11-12,4.17
TS280,TA048,A022,2026-11-13,4.18
TS281,TA048,A022,2026-11-16,0.72
TS282,TA049,A009,2026-11-07,5.46
TS283,TA049,A009,2026-11-09,4.63
TS284,TA049,A009,2026-11-10,4.03
TS285,TA049,A009,2026-11-11,7.4
TS286,TA049,A009,2026-11-12,7.95
TS287,TA049,A009,2026-11-13,7.68
TS288,TA049,A009,2026-11-16,4.94
TS289,TA049,A009,2026-11-17,6.36
TS290,TA049,A009,2026-11-18,6.06
TS291,TA049,A009,2026-11-19,4.7
TS292,TA049,A009,2026-11-20,4.83
TS293,TA049,A009,2026-11-23,4.37
TS294,TA049,A009,2026-11-24,4.21
TS295,TA049,A009,2026-11-25,5.25
TS296,TA049,A009,2026-11-26,7.9
TS297,TA049,A009,2026-11-27,4.37
TS298,TA049,A009,2026-11-30,5.54
TS299,TA049,A009,2026-12-01,6.63
TS300,TA049,A009,2026-12-02,3.3
TS301,TA050,A052,2026-10-18,5.84
TS302,TA050,A052,2026-10-19,6.89
TS303,TA050,A052,2026-10-20,4.69
TS304,TA050,A052,2026-10-21,5.57
TS305,TA050,A052,2026-10-22,4.9
TS306,TA050,A052,2026-10-23,5.97
TS307,TA050,A052,2026-10-26,7.75
TS308,TA050,A052,2026-10-27,4.56
TS309,TA050,A052,2026-10-28,7.67
TS310,TA050,A052,2026-10-29,6.87
TS311,TA050,A052,2026-10-30,0.59
TS312,TA051,A084,2026-10-20,1.42
TS313,TA052,A091,2026-10-20,5.54
TS314,TA053,A064,2026-10-20,4.38
TS315,TA053,A064,2026-10-21,8.0
TS316,TA053,A064,2026-10-22,5.58
TS317,TA053,A064,2026-10-23,5.06
TS318,TA053,A064,2026-10-26,4.17
TS319,TA053,A064,2026-10-27,4.94
TS320,TA053,A064,2026-10-28,4.51
TS321,TA053,A064,2026-10-29,7.74
