sequence_id,project_id,sequence_name,complexity,start_date,end_date,status
SQ001,P001,P001_SEQ010,Low,2026-06-08,2027-08-25,In Progress
SQ002,P001,P001_SEQ020,High,2026-04-21,2027-06-28,In Progress
SQ003,P001,P001_SEQ030,Medium,2025-12-21,2026-09-21,In Progress
SQ004,P001,P001_SEQ040,Medium,2026-07-26,2026-10-27,In Progress
SQ005,P001,P001_SEQ050,Medium,2026-01-22,2026-06-25,Completed
SQ006,P001,P001_SEQ060,Medium,2026-09-20,2027-10-13,In Progress
SQ007,P001,P001_SEQ070,Low,2026-03-07,2026-07-20,In Progress
SQ008,P001,P001_SEQ080,Medium,2026-10-11,2027-07-04,In Progress
SQ009,P001,P001_SEQ090,Low,2026-09-02,2027-11-08,In Progress
SQ010,P001,P001_SEQ100,Medium,2026-05-09,2027-09-11,In Progress
SQ011,P001,P001_SEQ110,Medium,2026-03-30,2026-06-19,Completed
SQ012,P001,P001_SEQ120,Medium,2026-10-03,2027-06-13,In Progress
SQ013,P001,P001_SEQ130,Low,2026-04-06,2027-09-27,In Progress
SQ014,P001,P001_SEQ140,Low,2025-10-27,2026-10-01,In Progress
SQ015,P001,P001_SEQ150,Medium,2025-10-17,2027-07-02,In Progress
SQ016,P001,P001_SEQ160,High,2026-01-04,2026-12-31,In Progress
SQ017,P001,P001_SEQ170,High,2026-03-17,2027-02-28,In Progress
SQ018,P001,P001_SEQ180,Low,2025-09-25,2025-11-18,Completed
SQ019,P001,P001_SEQ190,Low,2025-09-28,2027-03-10,In Progress
SQ020,P001,P001_SEQ200,Low,2025-11-17,2026-03-13,Completed
SQ021,P002,P002_SEQ010,Low,2023-11-06,2024-06-05,Completed
SQ022,P002,P002_SEQ020,Low,2023-12-09,2024-03-16,Completed
SQ023,P002,P002_SEQ030,High,2024-01-22,2024-04-09,Completed
SQ024,P002,P002_SEQ040,High,2023-08-03,2024-08-11,Completed
SQ025,P002,P002_SEQ050,Medium,2024-01-04,2024-02-19,Completed
SQ026,P002,P002_SEQ060,Medium,2024-01-24,2024-06-16,Completed
SQ027,P002,P002_SEQ070,Low,2023-11-10,2024-01-22,Completed
SQ028,P002,P002_SEQ080,Low,2023-09-14,2024-02-05,Completed
SQ029,P002,P002_SEQ090,Low,2023-12-10,2024-08-08,Completed
SQ030,P002,P002_SEQ100,Low,2023-11-20,2024-02-08,Completed
SQ031,P002,P002_SEQ110,Low,2024-01-29,2024-04-13,Completed
SQ032,P002,P002_SEQ120,Low,2023-10-28,2024-01-01,Completed
SQ033,P002,P002_SEQ130,Medium,2023-09-26,2024-05-26,Completed
SQ034,P002,P002_SEQ140,High,2023-11-11,2024-01-16,Completed
SQ035,P002,P002_SEQ150,Low,2023-10-09,2024-07-18,Completed
SQ036,P002,P002_SEQ160,Medium,2023-10-26,2024-03-15,Completed
SQ037,P002,P002_SEQ170,High,2023-10-13,2023-12-12,Completed
SQ038,P002,P002_SEQ180,Low,2023-11-21,2023-12-17,Completed
SQ039,P002,P002_SEQ190,Medium,2023-11-07,2024-04-19,Completed
SQ040,P002,P002_SEQ200,Medium,2023-10-11,2023-12-28,Completed
SQ041,P002,P002_SEQ210,High,2023-08-20,2023-10-29,Completed
SQ042,P002,P002_SEQ220,Medium,2023-09-10,2024-05-12,Completed
SQ043,P002,P002_SEQ230,Low,2023-10-09,2024-08-14,Completed
SQ044,P002,P002_SEQ240,Medium,2024-02-03,2024-04-28,Completed
SQ045,P002,P002_SEQ250,Medium,2023-08-22,2024-02-01,Completed
SQ046,P002,P002_SEQ260,Low,2023-11-27,2024-03-28,Completed
SQ047,P002,P002_SEQ270,High,2023-08-30,2023-12-20,Completed
SQ048,P002,P002_SEQ280,High,2023-11-12,2024-04-06,Completed
SQ049,P002,P002_SEQ290,Medium,2024-01-10,2024-04-01,Completed
SQ050,P003,P003_SEQ010,High,2025-11-12,2026-03-03,Completed
SQ051,P003,P003_SEQ020,Medium,2025-10-10,2026-04-19,Completed
SQ052,P003,P003_SEQ030,Medium,2025-07-28,2025-09-18,Completed
SQ053,P003,P003_SEQ040,Medium,2025-08-15,2025-09-10,Completed
SQ054,P003,P003_SEQ050,High,2025-07-14,2025-09-22,Completed
SQ055,P003,P003_SEQ060,Medium,2025-11-16,2025-12-14,Completed
SQ056,P003,P003_SEQ070,Medium,2025-10-04,2026-01-14,Completed
SQ057,P003,P003_SEQ080,Low,2025-08-13,2025-12-15,Completed
SQ058,P003,P003_SEQ090,Medium,2025-08-14,2026-03-10,Completed
SQ059,P003,P003_SEQ100,Medium,2025-10-07,2025-11-23,Completed
SQ060,P003,P003_SEQ110,Low,2025-10-15,2026-01-14,Completed
SQ061,P003,P003_SEQ120,Medium,2025-08-13,2025-09-30,Completed
SQ062,P003,P003_SEQ130,Medium,2025-07-23,2026-01-05,Completed
SQ063,P003,P003_SEQ140,High,2025-09-27,2025-11-12,Completed
SQ064,P003,P003_SEQ150,Medium,2025-11-03,2026-02-03,Completed
SQ065,P003,P003_SEQ160,Low,2025-10-29,2026-04-01,Completed
SQ066,P004,P004_SEQ010,Medium,2024-09-18,2025-04-11,Completed
SQ067,P004,P004_SEQ020,Medium,2025-02-02,2025-07-12,Completed
SQ068,P004,P004_SEQ030,Medium,2024-12-08,2025-05-07,Completed
SQ069,P004,P004_SEQ040,Medium,2025-01-01,2025-02-23,Completed
SQ070,P004,P004_SEQ050,Medium,2025-01-19,2025-06-01,Completed
SQ071,P004,P004_SEQ060,Low,2025-01-06,2025-02-08,Completed
SQ072,P004,P004_SEQ070,Medium,2025-01-29,2025-06-17,Completed
SQ073,P004,P004_SEQ080,Low,2025-02-08,2025-05-09,Completed
SQ074,P005,P005_SEQ010,Medium,2025-11-07,2026-03-06,Completed
SQ075,P005,P005_SEQ020,Medium,2025-10-12,2026-08-04,In Progress
SQ076,P005,P005_SEQ030,Medium,2025-01-04,2026-03-20,Completed
SQ077,P005,P005_SEQ040,Medium,2025-11-15,2026-10-27,In Progress
SQ078,P005,P005_SEQ050,High,2025-03-27,2025-08-11,Completed
SQ079,P005,P005_SEQ060,Medium,2025-11-27,2026-09-10,In Progress
SQ080,P005,P005_SEQ070,Low,2025-05-06,2025-10-27,Completed
SQ081,P005,P005_SEQ080,High,2025-10-22,2026-07-30,In Progress
SQ082,P005,P005_SEQ090,Medium,2025-11-23,2026-01-08,Completed
SQ083,P006,P006_SEQ010,Medium,2024-09-26,2024-10-24,Completed
SQ084,P006,P006_SEQ020,Medium,2024-04-14,2024-10-28,Completed
SQ085,P006,P006_SEQ030,Low,2024-09-29,2024-12-12,Completed
SQ086,P006,P006_SEQ040,Low,2024-09-28,2025-03-15,Completed
SQ087,P006,P006_SEQ050,Medium,2024-09-03,2025-03-15,Completed
SQ088,P006,P006_SEQ060,Medium,2024-05-28,2025-02-09,Completed
SQ089,P006,P006_SEQ070,High,2024-09-05,2024-11-25,Completed
SQ090,P006,P006_SEQ080,High,2024-06-26,2024-08-04,Completed
SQ091,P006,P006_SEQ090,Medium,2024-07-02,2024-09-23,Completed
SQ092,P006,P006_SEQ100,Medium,2024-08-21,2025-04-17,Completed
SQ093,P006,P006_SEQ110,High,2024-09-13,2024-12-16,Completed
SQ094,P007,P007_SEQ010,High,2026-09-10,2027-10-12,In Progress
SQ095,P007,P007_SEQ020,Low,2026-07-02,2027-06-09,In Progress
SQ096,P007,P007_SEQ030,High,2027-01-21,2028-08-30,In Progress
SQ097,P007,P007_SEQ040,Medium,2027-05-12,2028-06-22,In Progress
SQ098,P007,P007_SEQ050,Medium,2027-02-12,2028-08-10,In Progress
SQ099,P007,P007_SEQ060,Medium,2026-08-02,2028-02-09,In Progress
SQ100,P007,P007_SEQ070,Medium,2026-12-30,2028-05-24,In Progress
SQ101,P007,P007_SEQ080,Medium,2027-02-11,2027-05-02,In Progress
SQ102,P007,P007_SEQ090,Medium,2026-12-27,2027-11-19,In Progress
SQ103,P008,P008_SEQ010,Medium,2026-06-26,2027-04-11,In Progress
SQ104,P008,P008_SEQ020,Medium,2026-08-08,2026-08-26,In Progress
SQ105,P008,P008_SEQ030,Medium,2026-05-12,2027-02-23,In Progress
SQ106,P008,P008_SEQ040,Medium,2026-04-19,2027-04-14,In Progress
SQ107,P008,P008_SEQ050,Low,2026-06-21,2027-01-22,In Progress
SQ108,P008,P008_SEQ060,Medium,2026-05-31,2027-04-22,In Progress
SQ109,P008,P008_SEQ070,Medium,2026-08-23,2026-10-10,In Progress
SQ110,P008,P008_SEQ080,Medium,2026-08-17,2026-09-17,In Progress
SQ111,P008,P008_SEQ090,High,2026-10-01,2027-02-02,In Progress
SQ112,P008,P008_SEQ100,Low,2026-09-15,2026-10-20,In Progress
SQ113,P008,P008_SEQ110,Medium,2026-04-20,2027-04-23,In Progress
SQ114,P008,P008_SEQ120,Medium,2026-03-26,2026-10-05,In Progress
SQ115,P008,P008_SEQ130,Low,2026-05-08,2026-12-08,In Progress
SQ116,P008,P008_SEQ140,Medium,2026-08-11,2027-02-09,In Progress
SQ117,P008,P008_SEQ150,Low,2026-10-06,2026-11-28,In Progress
SQ118,P008,P008_SEQ160,Low,2026-03-24,2026-09-12,In Progress
SQ119,P008,P008_SEQ170,Medium,2026-06-13,2026-07-28,In Progress
SQ120,P008,P008_SEQ180,Low,2026-06-05,2026-08-21,In Progress
SQ121,P008,P008_SEQ190,High,2026-07-08,2026-08-23,In Progress
SQ122,P008,P008_SEQ200,Medium,2026-08-02,2026-09-12,In Progress
SQ123,P008,P008_SEQ210,Low,2026-08-05,2027-04-29,In Progress
SQ124,P008,P008_SEQ220,Low,2026-06-03,2027-02-19,In Progress
SQ125,P008,P008_SEQ230,Medium,2026-04-21,2027-02-07,In Progress
SQ126,P008,P008_SEQ240,Low,2026-07-17,2026-08-14,In Progress
SQ127,P008,P008_SEQ250,Medium,2026-03-27,2026-08-31,In Progress
SQ128,P008,P008_SEQ260,Low,2026-08-24,2026-11-06,In Progress
SQ129,P008,P008_SEQ270,Medium,2026-06-14,2026-09-01,In Progress
SQ130,P009,P009_SEQ010,Medium,2025-06-15,2026-03-09,Completed
SQ131,P009,P009_SEQ020,Low,2025-02-05,2026-06-19,Completed
SQ132,P009,P009_SEQ030,Medium,2025-01-21,2026-07-05,In Progress
SQ133,P009,P009_SEQ040,Medium,2025-07-21,2026-04-28,Completed
SQ134,P009,P009_SEQ050,Medium,2025-03-11,2026-02-02,Completed
SQ135,P009,P009_SEQ060,Low,2025-05-11,2026-02-04,Completed
SQ136,P009,P009_SEQ070,Medium,2024-11-26,2026-05-13,Completed
SQ137,P009,P009_SEQ080,Low,2025-05-23,2025-08-03,Completed
SQ138,P009,P009_SEQ090,Medium,2025-03-08,2025-08-19,Completed
SQ139,P009,P009_SEQ100,Medium,2025-01-16,2025-08-26,Completed
SQ140,P009,P009_SEQ110,Medium,2025-02-14,2026-06-22,Completed
SQ141,P009,P009_SEQ120,High,2025-07-22,2026-11-27,In Progress
SQ142,P009,P009_SEQ130,Medium,2025-03-24,2025-08-27,Completed
SQ143,P010,P010_SEQ010,Medium,2024-07-18,2024-09-09,Completed
SQ144,P010,P010_SEQ020,Medium,2024-08-12,2024-10-18,Completed
SQ145,P010,P010_SEQ030,Medium,2024-08-31,2024-10-22,Completed
SQ146,P010,P010_SEQ040,Low,2024-08-17,2024-10-21,Completed
SQ147,P010,P010_SEQ050,High,2024-09-09,2024-10-06,Completed
SQ148,P010,P010_SEQ060,Medium,2024-07-25,2024-08-25,Completed
SQ149,P010,P010_SEQ070,High,2024-08-09,2024-12-04,Completed
SQ150,P010,P010_SEQ080,Medium,2024-08-31,2024-09-16,Completed
SQ151,P010,P010_SEQ090,High,2024-09-13,2024-11-18,Completed
SQ152,P010,P010_SEQ100,Medium,2024-08-10,2024-11-15,Completed
SQ153,P010,P010_SEQ110,Medium,2024-09-09,2024-09-25,Completed
SQ154,P010,P010_SEQ120,Medium,2024-09-18,2024-10-13,Completed
SQ155,P010,P010_SEQ130,Medium,2024-08-15,2024-09-06,Completed
SQ156,P010,P010_SEQ140,Medium,2024-08-20,2024-10-28,Completed
SQ157,P010,P010_SEQ150,Low,2024-08-28,2024-10-02,Completed
SQ158,P010,P010_SEQ160,Low,2024-07-26,2024-08-30,Completed
SQ159,P010,P010_SEQ170,High,2024-07-17,2024-09-02,Completed
SQ160,P010,P010_SEQ180,Low,2024-08-16,2024-10-28,Completed
SQ161,P010,P010_SEQ190,Low,2024-08-17,2024-09-01,Completed
